                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.95751,                0.88616,                 1.1808,                 1.0442,                 1.1417,                 1.1902,                0.71954,                 0.6567,                0.69902,                0.50646,                 1.0384,                 1.0467,                 1.2291,                 1.1051,                 1.4493,                 1.2237,               0.001425,               0.001425,               0.001425
                     25,                 1.0277,                 1.0865,                 1.2747,                 1.1264,                 1.3915,                 1.2924,                0.68637,                0.66698,                0.70231,                0.50937,                 1.0264,                 1.1509,                 1.2378,                 1.0644,                 1.4559,                 1.2033,              0.0014139,              0.0014139,              0.0014139
                     26,                0.93362,                0.88119,                  1.175,                 1.0177,                 1.1446,                 1.1801,                0.76386,                0.69844,                0.73228,                 0.5298,                0.96919,                0.98135,                 1.1845,                 1.0372,                 1.2902,                 1.1989,              0.0014029,              0.0014029,              0.0014029
                     27,                0.94843,                0.87519,                 1.1825,                 1.0491,                 1.0815,                 1.1945,                 0.7256,                0.69411,                0.71802,                0.50145,                 1.0113,                 1.0312,                 1.2155,                 1.0488,                 1.4531,                 1.2094,              0.0013919,              0.0013919,              0.0013919
                     28,                0.91188,                0.88415,                 1.1745,                0.99118,                 1.1416,                 1.1841,                0.80454,                0.70854,                0.78581,                0.57288,                0.98166,                0.88915,                 1.1832,                 1.0531,                 1.1633,                 1.1801,              0.0013809,              0.0013809,              0.0013809
                     29,                0.88872,                0.82101,                 1.1668,                 0.9788,                 1.0666,                 1.1761,                0.72947,                0.67686,                0.74257,                0.54126,                0.97598,                0.92506,                 1.1789,                 1.0535,                 1.1906,                 1.1642,              0.0013699,              0.0013699,              0.0013699
                     30,                0.95651,                0.85161,                 1.2099,                 1.0326,                 1.0626,                 1.2084,                0.71209,                0.71371,                0.75329,                0.52354,                 1.0367,                0.98103,                 1.2269,                 1.1233,                 1.3515,                 1.2466,              0.0013589,              0.0013589,              0.0013589
                     31,                0.90795,                 0.8227,                 1.1556,                 1.0141,                 1.0536,                 1.1683,                0.68217,                 0.6279,                0.68206,                 0.4949,                 1.0391,                 1.2066,                 1.2673,                 1.0837,                 1.6229,                 1.2381,              0.0013479,              0.0013479,              0.0013479
                     32,                0.92918,                0.86046,                 1.1758,                 1.0178,                 1.0997,                 1.1659,                0.74271,                 0.6522,                0.72442,                0.53016,                0.96615,                0.98934,                 1.2017,                 1.0253,                 1.2319,                 1.1981,              0.0013369,              0.0013369,              0.0013369
                     33,                0.90937,                0.83673,                 1.1762,                 1.0089,                 1.0216,                 1.1818,                0.74633,                0.69683,                0.72063,                0.51175,                0.99148,                0.99028,                 1.1988,                 1.0581,                 1.2954,                 1.1867,              0.0013259,              0.0013259,              0.0013259
