                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.71224,                0.56716,                 1.1038,                0.78926,                0.63842,                 1.1063,                0.87127,                0.73732,                0.83492,                0.64297,                0.84723,                0.61273,                 1.1045,                0.91073,                0.71827,                 1.0966,             0.00057778,             0.00057778,             0.00057778
                    102,                0.66768,                0.48185,                 1.0315,                 0.7512,                0.53812,                 1.0542,                0.86314,                0.74408,                0.85262,                0.64525,                0.85891,                0.57846,                 1.0998,                 0.9365,                0.68306,                 1.0988,             0.00056678,             0.00056678,             0.00056678
                    103,                0.64373,                0.44896,                 1.0142,                0.71514,                0.46493,                 1.0241,                0.82635,                0.79563,                0.86601,                0.65975,                 0.8543,                0.56234,                 1.0945,                0.92106,                0.67926,                  1.084,             0.00055578,             0.00055578,             0.00055578
                    104,                0.65942,                0.46054,                  1.036,                0.74453,                0.49776,                 1.0535,                 0.8844,                0.72134,                0.82883,                0.63465,                0.81809,                0.62388,                 1.0729,                0.90668,                0.71528,                   1.07,             0.00054478,             0.00054478,             0.00054478
                    105,                 0.6519,                0.44553,                 1.0219,                0.72093,                0.47921,                 1.0299,                0.83229,                0.74135,                0.81009,                 0.6259,                0.83871,                0.69133,                    1.1,                0.93316,                0.78073,                 1.1068,             0.00053377,             0.00053377,             0.00053377
                    106,                0.65801,                0.45836,                 1.0236,                0.72185,                0.48397,                 1.0346,                0.81936,                0.79202,                0.85058,                0.65146,                0.83434,                0.61419,                 1.1039,                0.94188,                0.69411,                 1.1175,             0.00052277,             0.00052277,             0.00052277
                    107,                 0.6343,                0.46428,                 1.0192,                0.70949,                0.50558,                 1.0379,                 0.8907,                0.75065,                0.85753,                0.65384,                0.84623,                0.58768,                 1.1204,                0.94166,                0.70406,                 1.1225,             0.00051177,             0.00051177,             0.00051177
                    108,                0.61368,                0.44577,                 1.0123,                0.68162,                0.48445,                 1.0292,                0.83269,                0.78222,                0.84635,                0.64662,                 0.8418,                 0.6157,                 1.1053,                0.91743,                0.72656,                 1.1051,             0.00050077,             0.00050077,             0.00050077
                    109,                0.62461,                0.46252,                 1.0167,                 0.6901,                0.49271,                 1.0277,                0.81306,                0.78087,                 0.8318,                0.63346,                 0.8451,                0.65117,                 1.1008,                0.92571,                0.75466,                 1.1018,             0.00048976,             0.00048976,             0.00048976
                    110,                0.61653,                0.44168,                  1.013,                0.68174,                0.47508,                 1.0255,                0.90617,                0.75753,                0.86594,                0.65949,                0.84216,                 0.5719,                 1.0869,                0.91781,                0.64602,                 1.0935,             0.00047876,             0.00047876,             0.00047876
                    111,                  0.606,                  0.452,                  1.019,                0.67268,                0.48057,                 1.0291,                0.86773,                0.77175,                0.86723,                0.67054,                0.82892,                0.59315,                 1.0784,                0.88269,                0.65518,                 1.0737,             0.00046776,             0.00046776,             0.00046776
                    112,                0.63976,                0.46759,                 1.0235,                0.70219,                0.52988,                 1.0346,                0.77454,                0.79131,                0.82739,                0.63403,                0.85861,                0.67892,                 1.0948,                0.89756,                0.82554,                 1.0747,             0.00045676,             0.00045676,             0.00045676
                    113,                0.61567,                0.43888,                 1.0193,                0.68633,                0.47314,                 1.0322,                0.87311,                0.78088,                0.87466,                0.66891,                0.84519,                0.55982,                  1.086,                0.92401,                 0.6217,                  1.085,             0.00044576,             0.00044576,             0.00044576
                    114,                0.65395,                0.46332,                 1.0413,                0.72677,                 0.5036,                  1.055,                0.87563,                0.81604,                0.88505,                0.68357,                0.83717,                 0.5332,                 1.0916,                0.91961,                0.60678,                 1.0885,             0.00043475,             0.00043475,             0.00043475
                    115,                0.61309,                0.44074,                  1.012,                0.67353,                0.47698,                 1.0172,                0.87209,                0.81229,                0.87839,                0.68088,                0.83425,                0.53862,                 1.0794,                 0.9212,                0.61143,                 1.0806,             0.00042375,             0.00042375,             0.00042375
                    116,                0.60124,                0.42266,                0.99462,                0.67291,                0.45262,                 1.0074,                 0.8596,                0.79847,                0.86882,                0.66982,                0.84526,                0.56625,                 1.0882,                0.92436,                0.61543,                 1.0905,             0.00041275,             0.00041275,             0.00041275
                    117,                0.57505,                  0.419,                0.98827,                0.63229,                0.42694,                0.99511,                0.85666,                0.79612,                0.87071,                0.67438,                0.84392,                0.56848,                 1.0843,                0.91996,                0.66197,                 1.0812,             0.00040175,             0.00040175,             0.00040175
                    118,                0.58358,                0.42431,                 1.0093,                0.63588,                0.43012,                 1.0234,                0.88814,                 0.7954,                0.88013,                0.67404,                0.85413,                 0.5576,                 1.1065,                0.93532,                0.65341,                 1.0985,             0.00039074,             0.00039074,             0.00039074
                    119,                0.59699,                  0.443,                 1.0007,                 0.6716,                0.48647,                 1.0082,                0.89754,                0.82883,                0.89368,                0.68732,                0.84465,                0.51201,                 1.0951,                0.93441,                0.58863,                  1.097,             0.00037974,             0.00037974,             0.00037974
                    120,                0.62506,                0.44645,                 1.0241,                0.70498,                 0.4779,                 1.0383,                0.92129,                0.74615,                0.87498,                0.67347,                0.83807,                0.53575,                 1.0775,                0.91017,                0.63733,                 1.0679,             0.00036874,             0.00036874,             0.00036874
                    121,                0.61123,                 0.4374,                0.99878,                0.67557,                0.46119,                 1.0033,                0.84689,                0.80791,                0.86384,                0.66027,                0.84085,                0.56941,                 1.0863,                0.91731,                0.64767,                 1.0778,             0.00035774,             0.00035774,             0.00035774
                    122,                0.58193,                 0.4161,                 0.9916,                0.65975,                0.44631,                 1.0057,                0.81698,                0.81769,                0.86429,                0.66883,                0.83692,                0.57494,                 1.0845,                0.90797,                0.65487,                 1.0784,             0.00034674,             0.00034674,             0.00034674
                    123,                0.59329,                0.43164,                 1.0138,                0.68225,                0.47655,                 1.0287,                0.85449,                0.79552,                 0.8621,                0.67081,                0.83306,                0.56535,                 1.0942,                0.90313,                0.65666,                 1.0826,             0.00033573,             0.00033573,             0.00033573
                    124,                0.58032,                0.41639,                0.97885,                0.63923,                0.43743,                0.99243,                0.88958,                0.78052,                0.86998,                0.67611,                 0.8477,                0.56133,                 1.1025,                0.91108,                0.64787,                 1.0876,             0.00032473,             0.00032473,             0.00032473
                    125,                0.59904,                0.45786,                0.98633,                 0.6799,                 0.4938,                0.99912,                0.91482,                0.81712,                0.88543,                0.68734,                0.83243,                0.51517,                 1.1028,                0.90411,                0.57724,                 1.0919,             0.00031373,             0.00031373,             0.00031373
                    126,                0.57579,                0.41531,                0.98181,                0.65674,                0.44638,                0.99109,                0.88582,                0.83065,                0.88889,                0.69356,                0.83076,                0.50666,                 1.0846,                0.90345,                0.55236,                  1.083,             0.00030273,             0.00030273,             0.00030273
                    127,                0.57467,                0.41162,                0.98567,                0.65318,                0.44374,                  0.996,                0.87544,                0.81396,                0.88243,                0.68245,                0.83754,                0.52875,                 1.0988,                0.89577,                0.59378,                 1.0811,             0.00029172,             0.00029172,             0.00029172
                    128,                0.58153,                0.41527,                 0.9925,                0.64518,                0.42727,                 1.0076,                0.91731,                0.77448,                0.88194,                  0.679,                0.82045,                0.51819,                 1.0683,                0.89075,                0.59441,                  1.075,             0.00028072,             0.00028072,             0.00028072
                    129,                0.57235,                0.40094,                0.98177,                   0.64,                0.41971,                0.99364,                0.90066,                0.78194,                0.87508,                0.68551,                0.81776,                0.51975,                 1.0747,                0.89067,                0.59523,                 1.0771,             0.00026972,             0.00026972,             0.00026972
                    130,                0.58616,                0.42052,                0.99316,                0.64107,                0.44489,                 1.0029,                0.89254,                0.80032,                0.88018,                0.68669,                0.82063,                0.51765,                 1.0755,                0.89767,                0.61604,                 1.0736,             0.00025872,             0.00025872,             0.00025872
                    131,                0.58663,                0.40588,                0.99218,                0.64067,                 0.4373,                 1.0046,                0.87026,                0.81983,                0.88325,                0.68214,                0.82468,                0.52394,                  1.075,                0.90414,                0.60358,                 1.0749,             0.00024772,             0.00024772,             0.00024772
                    132,                 0.6145,                0.44029,                0.99828,                0.68654,                0.46325,                 1.0018,                0.84383,                 0.8244,                0.88218,                0.68732,                0.81386,                0.51771,                 1.0728,                0.88981,                0.61025,                  1.068,             0.00023671,             0.00023671,             0.00023671
                    133,                0.60622,                0.40979,                0.98885,                0.67843,                0.41573,                0.99906,                0.89796,                0.77858,                0.88022,                0.68491,                0.81323,                0.50474,                 1.0769,                0.89464,                0.60018,                 1.0777,             0.00022571,             0.00022571,             0.00022571
                    134,                0.59357,                0.38997,                 1.0034,                0.65087,                0.41596,                 1.0079,                0.87708,                0.78189,                0.87923,                0.67541,                0.82115,                0.52746,                 1.0902,                0.89886,                0.61686,                 1.0856,             0.00021471,             0.00021471,             0.00021471
                    135,                0.55709,                0.38065,                0.96576,                0.62391,                0.39287,                0.97502,                0.84988,                 0.8312,                0.88401,                0.67587,                0.82947,                0.52303,                 1.0876,                0.91073,                0.60136,                 1.0894,             0.00020371,             0.00020371,             0.00020371
                    136,                0.56486,                0.38991,                0.97394,                0.62908,                0.40038,                0.98639,                0.85667,                0.82782,                0.88622,                0.68011,                 0.8303,                0.51665,                  1.094,                0.90625,                0.59302,                 1.0928,             0.00019271,             0.00019271,             0.00019271
                    137,                0.55463,                0.45085,                 1.0066,                0.61695,                0.48865,                 1.0198,                0.88916,                0.81769,                0.89192,                0.68612,                0.82877,                0.49971,                 1.0932,                0.91116,                0.56117,                 1.0886,              0.0001817,              0.0001817,              0.0001817
                    138,                0.56183,                 0.3867,                0.98076,                0.62627,                0.37946,                 0.9864,                0.88133,                0.81431,                0.88705,                0.68845,                0.82593,                0.50394,                 1.0933,                0.90482,                 0.5842,                 1.0805,              0.0001707,              0.0001707,              0.0001707
                    139,                0.55545,                0.38074,                0.97985,                0.60825,                0.40643,                0.98948,                0.89514,                0.79602,                0.88726,                0.68733,                0.81244,                0.50314,                 1.0709,                0.89282,                   0.59,                 1.0689,              0.0001597,              0.0001597,              0.0001597
                    140,                0.55878,                0.40859,                0.98992,                0.61406,                0.44969,                  1.002,                0.88439,                0.81612,                0.89606,                0.69184,                0.82966,                0.48634,                 1.0777,                0.90184,                0.57418,                 1.0715,              0.0001487,              0.0001487,              0.0001487
                    141,                0.48469,                0.35418,                0.92012,                0.51634,                0.36075,                0.92482,                 0.9179,                0.81445,                0.89846,                0.69138,                0.83932,                0.48471,                 1.0965,                0.91426,                0.54167,                 1.0883,             0.00013769,             0.00013769,             0.00013769
                    142,                0.48933,                  0.315,                0.92245,                0.51887,                0.29846,                0.92734,                0.93538,                0.80636,                0.89538,                0.69376,                0.83991,                0.49423,                  1.113,                0.91326,                0.55193,                 1.0956,             0.00012669,             0.00012669,             0.00012669
                    143,                0.46935,                0.30821,                 0.9071,                0.49476,                 0.3026,                0.91158,                0.88143,                0.82914,                0.89533,                0.69353,                0.83712,                0.50249,                 1.1037,                0.91036,                0.56989,                 1.0986,             0.00011569,             0.00011569,             0.00011569
                    144,                0.46768,                0.29484,                0.90619,                 0.5006,                0.27674,                0.91306,                0.89393,                0.80525,                0.89436,                0.68959,                0.84597,                0.50956,                  1.111,                0.91855,                0.57773,                 1.1049,             0.00010469,             0.00010469,             0.00010469
                    145,                0.47333,                0.29953,                0.90289,                0.50123,                0.27182,                0.90699,                0.91282,                0.80791,                0.89575,                 0.6929,                0.83283,                0.50513,                 1.1054,                0.90954,                0.57544,                 1.1019,             9.3685e-05,             9.3685e-05,             9.3685e-05
                    146,                 0.4953,                0.36934,                  0.936,                0.52723,                0.37637,                0.93969,                 0.8999,                0.82142,                0.89372,                 0.6899,                 0.8292,                0.49885,                 1.1003,                0.90216,                0.58114,                 1.0953,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    147,                0.48865,                0.32568,                 0.9294,                0.52582,                0.30692,                0.93152,                0.90065,                0.83156,                0.89452,                0.69147,                0.84044,                0.49776,                 1.1059,                0.91511,                0.57112,                 1.1019,             7.1681e-05,             7.1681e-05,             7.1681e-05
                    148,                0.43924,                 0.2913,                0.88046,                0.46559,                0.26676,                0.88527,                0.89801,                0.83695,                0.89194,                0.68805,                0.83645,                0.49928,                 1.1092,                0.91556,                 0.5754,                 1.1034,             6.0679e-05,             6.0679e-05,             6.0679e-05
                    149,                0.48928,                 0.3066,                0.93548,                0.51067,                0.27716,                0.93378,                0.93449,                0.80127,                0.89144,                0.68717,                0.83642,                0.50026,                 1.1169,                0.91952,                0.57075,                 1.1089,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    150,                0.46245,                0.31899,                0.90281,                0.49307,                0.28801,                0.91011,                0.93129,                0.80227,                0.89046,                 0.6846,                0.83882,                0.49497,                 1.1252,                0.91124,                0.59425,                 1.0929,             3.8674e-05,             3.8674e-05,             3.8674e-05
